Filename	IOU	F1	Score
6672.png	0.5154	0.6802	59.78
6693.png	0.6502	0.7880	71.91
6733.png	0.3440	0.5119	42.79
7662.png	0.1749	0.2977	23.63
7715.png	0.3851	0.5561	47.06
7832.png	0.3106	0.4740	39.23
7959.png	0.0000	0.0000	0.00
0245.png	0.6052	0.7541	67.96
0304.png	0.1507	0.2619	20.63
0374.png	0.0000	0.0000	0.00
0861.png	0.2314	0.3758	30.36
0874.png	0.8354	0.9103	87.29
0880.png	0.0772	0.1433	11.02
0920.png	0.7257	0.8411	78.34
1230.png	0.0000	0.0000	0.00
1371.png	0.0000	0.0000	0.00
2627.png	0.7104	0.8307	77.05
2759.png	0.7080	0.8291	76.85
2848.png	0.8138	0.8973	85.56
2896.png	0.8494	0.9186	88.40
3111.png	0.8554	0.9221	88.87
3233.png	0.5581	0.7164	63.72
3358.png	0.6010	0.7508	67.59
3367.png	0.6370	0.7783	70.77
3515.png	0.6606	0.7957	72.82
3817.png	0.5185	0.6829	60.07
4132.png	0.0000	0.0000	0.00
4509.png	0.7708	0.8706	82.07
4536.png	0.4440	0.6150	52.95
4664.png	0.1520	0.2638	20.79
4740.png	0.8005	0.8892	84.49
4755.png	0.5634	0.7208	64.21
5076.png	0.7128	0.8323	77.25
5108.png	0.1213	0.2164	16.88
5200.png	0.7281	0.8426	78.53
5467.png	0.7671	0.8682	81.77
5745.png	0.5312	0.6939	61.26
5841.png	0.4219	0.5934	50.76
5854.png	0.5758	0.7308	65.33
6070.png	0.8654	0.9278	89.66
6213.png	0.4537	0.6242	53.90
6352.png	0.3937	0.5650	47.93
6399.png	0.8545	0.9215	88.80
6411.png	0.7092	0.8299	76.96
6535.png	0.8776	0.9348	90.62
6628.png	0.6889	0.8158	75.24
7929.png	0.7545	0.8600	80.72
0342.png	0.4898	0.6576	57.37
0389.png	0.4084	0.5799	49.42
0490.png	0.5418	0.7028	62.23
0607.png	0.2085	0.3451	27.68
0784.png	0.3768	0.5474	46.21
0842.png	0.0000	0.0000	0.00
0895.png	0.6929	0.8186	75.58
0903.png	0.6429	0.7827	71.28
1138.png	0.0000	0.0000	0.00
1213.png	0.0000	0.0000	0.00
1520.png	0.0000	0.0000	0.00
1617.png	0.0000	0.0000	0.00
1769.png	0.0000	0.0000	0.00
2900.png	0.4883	0.6562	57.23
3059.png	0.3329	0.4995	41.62
3087.png	0.5220	0.6859	60.40
3127.png	0.7137	0.8329	77.33
3344.png	0.8655	0.9279	89.67
3441.png	0.7341	0.8467	79.04
3462.png	0.2808	0.4385	35.97
3477.png	0.1574	0.2720	21.47
3755.png	0.6245	0.7689	69.67
3851.png	0.7983	0.8878	84.31
4637.png	0.7113	0.8313	77.13
4763.png	0.6462	0.7851	71.56
4867.png	0.4444	0.6154	52.99
